Latitude	Longitude
41.86407316	-87.70681861
41.78292153	-87.60436317
41.89490828	-87.75837196
41.88568685	-87.74951598
41.88629724	-87.76175071
41.74535402	-87.6037989
41.84402377	-87.62692325
41.81113396	-87.62074077
41.99813061	-87.66581404
41.76809684	-87.66387859
41.76173329	-87.55830998
41.89302675	-87.62675083
41.87781186	-87.65575801
41.84301696	-87.61722727
41.91090083	-87.68601875
41.76208913	-87.69663234
41.9082371	-87.67843742
41.79393591	-87.62568028
41.71184357	-87.64660793
41.81587521	-87.60183257
41.91011672	-87.67744465
41.79070461	-87.60614149
41.92732184	-87.66581042
41.99596152	-87.79752856
41.88993449	-87.63761923
41.7213798	-87.64978116
41.92527818	-87.65936796
41.83458618	-87.63228541
41.81472107	-87.7054583
41.74089592	-87.64861788
41.88063228	-87.63593549
41.87851302	-87.76642478
41.90528413	-87.73261553
41.94998639	-87.65319658
41.99458874	-87.65752255
41.7119596	-87.61267363
41.82034323	-87.64175921
41.94333206	-87.70528607
41.77107306	-87.56827866
41.76991675	-87.66395498
41.65324998	-87.60482818
41.78591319	-87.69480165
41.79204575	-87.79713628
41.72134702	-87.65211853
41.94646154	-87.72072354
41.88165124	-87.62620049
41.73697442	-87.545828
41.93382589	-87.78335189
41.84114586	-87.64148388
41.7652989	-87.58365451
41.99370385	-87.79418524
41.8979804	-87.63037668
41.77714211	-87.64714727
41.88945317	-87.62799483
41.91994998	-87.65164906
41.83638523	-87.66571041
41.74271022	-87.63408818
41.91349864	-87.77410994
41.90465676	-87.70763425
41.9203601	-87.68260517
41.81509317	-87.70425144
41.87891776	-87.72175831
41.86816541	-87.62743954
41.88449753	-87.6258386
41.88316482	-87.6445084
41.99057177	-87.79339873
41.70427604	-87.61979792
41.75045785	-87.58831279
41.8382197	-87.70485067
41.96921161	-87.7634591
41.79874193	-87.62580711
41.74771234	-87.66579808
41.7248615	-87.62874294
41.75776725	-87.60781822
41.85442795	-87.68570021
41.97284344	-87.67112723
41.78272837	-87.64972028
41.90727403	-87.72279189
41.94525754	-87.74767892
41.76418539	-87.5926442
41.99419755	-87.79647287
41.99973106	-87.70580971
41.76575557	-87.57629243
41.98427785	-87.67101243
41.90178302	-87.62799506
41.83994702	-87.7146725
41.78624472	-87.70365352
41.82366585	-87.60307202
41.89436874	-87.71018083
41.69158427	-87.67750189
41.8942631	-87.72115283
41.77431903	-87.60579503
41.90650727	-87.76702211
41.7418051	-87.57823003
41.76884638	-87.7298248
41.78375742	-87.68376461
41.94693295	-87.75554478
41.93935715	-87.77685754
41.93496894	-87.65393685
41.93925849	-87.66380409
41.79327599	-87.77823659
41.88575329	-87.62699624
41.74016931	-87.57820157
41.73277179	-87.60472899
41.83185793	-87.64491566
41.8081478	-87.66496197
41.73699363	-87.54582776
41.99615508	-87.67345707
41.72124785	-87.65996945
41.98025918	-87.71000978
41.88638227	-87.76339888
41.90950808	-87.7551807
41.90025005	-87.62727361
41.85129667	-87.7064588
41.85669507	-87.64885236
41.94495301	-87.64941621
41.75025215	-87.61813096
41.93358238	-87.64551708
41.90711883	-87.67868029
41.77270119	-87.58506036
41.85981528	-87.62397793
41.80758633	-87.61512779
41.71790308	-87.63749255
41.93994148	-87.65208674
41.96119177	-87.70736456
41.78765064	-87.64863395
41.91857831	-87.63618385
41.85730848	-87.61934007
41.92920189	-87.69876576
41.88728587	-87.75694927
41.88591631	-87.65448252
41.945916	-87.65307443
41.88098896	-87.70485404
41.94004203	-87.82762547
41.99345733	-87.65831807
41.78653906	-87.62063552
41.89232854	-87.64052046
41.95193503	-87.79085381
41.87156685	-87.67048835
41.76971848	-87.58427023
41.71793338	-87.63479637
41.85393075	-87.62384107
42.00229294	-87.66807366
41.75273668	-87.59187063
41.78669138	-87.6689433
41.76474177	-87.67981809
41.95101895	-87.71038665
41.8774702	-87.67822288
41.77596364	-87.61551737
41.74792601	-87.6633736
41.94782459	-87.79972205
41.88893198	-87.71978611
41.77984007	-87.70676293
41.74628779	-87.56516873
	
	
	
	
	
	
	
	
	
41.794879	-87.63179049
	
	
	
	
	
	
	
	
	
	
	
	
	
41.7586063	-87.68674885
41.87946715	-87.74819558
41.79406181	-87.662677
41.77147534	-87.66157428
41.87274397	-87.7091499
41.80811735	-87.70427567
41.66329207	-87.63814672
41.65913748	-87.60887511
41.75358538	-87.56319432
41.76987408	-87.65667148
41.84451832	-87.63871703
41.89795937	-87.66311903
41.86912653	-87.77346516
41.93994326	-87.651925
41.93653888	-87.78198708
41.79946141	-87.59620632
41.9895994	-87.66025687
42.01939873	-87.67543958
42.00448731	-87.67984643
42.00908726	-87.69017186
	
	
41.79951843	-87.59099784
41.97381475	-87.72206486
41.85475296	-87.71123359
41.91219587	-87.7630995
41.73525191	-87.63873055
	
41.72307462	-87.62378426
41.8749748	-87.72547505
41.79972165	-87.64937099
41.80171934	-87.63070362
	
41.85993099	-87.7091387
41.85195123	-87.69180719
41.76488381	-87.62328714
41.83100324	-87.62708478
41.69283384	-87.60431945
41.80934083	-87.61923474
41.85608483	-87.6418111
41.76177285	-87.60547861
41.77500188	-87.60183161
41.89083129	-87.63031551
41.87503958	-87.74369027
41.94142909	-87.75739185
41.8807081	-87.62991973
	
	
41.773033	-87.68090705
	
41.8543025	-87.71369727
41.87818863	-87.74933454
41.87519839	-87.71747939
41.78337588	-87.64555918
41.76971165	-87.66880695
41.80800325	-87.71306892
41.97446941	-87.80473648
41.87527257	-87.62425131
41.73285897	-87.61377364
41.84912076	-87.70150309
41.75998368	-87.7024992
41.74584892	-87.65967947
41.905256	-87.63452878
41.7264743	-87.6263698
41.75231021	-87.65428696
41.94330987	-87.73346803
41.78127743	-87.61565243
41.86726481	-87.71391723
41.78463945	-87.64164438
41.78640901	-87.64981318
41.67077485	-87.61961899
41.94995389	-87.64957229
41.76622965	-87.57785572
41.82387397	-87.61387448
41.94784175	-87.6543479
42.01400961	-87.68129079
41.87105482	-87.69688858
41.84985263	-87.69539208
41.85119573	-87.70155975
41.74238338	-87.54421927
41.9000624	-87.62088426
41.83364708	-87.62060119
41.780722	-87.64967193
41.95994384	-87.76722572
41.8765882	-87.76012246
41.72885291	-87.55411868
41.87796215	-87.72681639
41.70270197	-87.6111987
41.74845823	-87.60515996
41.74470867	-87.6163713
41.98950274	-87.69572108
41.77632263	-87.60583838
42.00653363	-87.81762117
41.87536742	-87.62762099
41.89972579	-87.71889305
41.98105183	-87.83965884
41.99010759	-87.65521578
41.80316011	-87.62267765
41.82632535	-87.67150558
41.79879026	-87.68905898
41.99645774	-87.69593861
41.81304957	-87.70291051
41.90860635	-87.62595452
41.80379148	-87.6624105
41.83685977	-87.72599366
41.77735648	-87.63175052
41.77184205	-87.65672412
41.88639335	-87.76508077
41.8872316	-87.76422499
41.77539998	-87.64953048
41.86620244	-87.72308003
41.7737319	-87.65191644
41.96679462	-87.74402158
41.90347807	-87.6314331
41.69228943	-87.64785213
41.77755833	-87.61555825
41.74384622	-87.54303978
41.65960058	-87.59667637
41.78566567	-87.67286259
41.95799323	-87.71671595
41.71457649	-87.56218047
41.96736115	-87.73418378
41.87423629	-87.67465758
41.78582598	-87.73361464
41.9813162	-87.69511867
41.79651187	-87.74041325
41.73158112	-87.66294264
41.77724747	-87.6964201
41.82785153	-87.60837767
41.89483049	-87.76701509
41.89523856	-87.68683072
41.8899369	-87.63756411
41.88177008	-87.63530987
41.96445085	-87.65686677
41.84174575	-87.7256979
41.91159074	-87.73531182
41.76145023	-87.62321137
41.66685349	-87.62010881
41.74435904	-87.55141015
41.76271995	-87.62484679
41.96672861	-87.76744511
41.83103076	-87.62442425
41.77087584	-87.58626565
41.85593263	-87.71881319
41.80067943	-87.71421048
41.88472167	-87.75400872
41.74413733	-87.65842217
41.79833864	-87.69270525
41.69249346	-87.59870306
41.79586821	-87.62573237
41.69797838	-87.62923419
41.93743245	-87.64918049
41.80320189	-87.72198373
41.87746381	-87.76291633
41.75332296	-87.58410173
41.87373811	-87.70175271
41.8758603	-87.72066021
41.88322434	-87.6249713
41.88071404	-87.72670591
41.97316782	-87.71349527
41.8801227	-87.75354352
41.70273553	-87.53575805
41.70526786	-87.62932312
41.73897822	-87.66314418
41.89336074	-87.66606866
41.80922913	-87.70034366
42.00063554	-87.6704602
41.79139429	-87.65844739
41.79873131	-87.63168246
41.75846171	-87.61220124
41.70716055	-87.62382378
41.85239745	-87.63200286
41.81295381	-87.65526084
41.8810399	-87.64116754
41.75542593	-87.64659433
41.82240839	-87.69068234
41.86418606	-87.70437984
41.77625777	-87.60340112
41.87874365	-87.73612491
41.87082262	-87.7187477
41.74200822	-87.57823498
41.8819215	-87.73612837
41.77308704	-87.60886637
41.89432798	-87.71994015
41.79236146	-87.62402541
41.75594919	-87.61987456
41.74326762	-87.58744321
41.74771392	-87.55524651
41.77938414	-87.7313282
41.75336954	-87.70896282
41.7946992	-87.70603881
41.75035254	-87.61005655
41.93893746	-87.65772088
41.83972099	-87.72320693
41.86512986	-87.62737381
41.89055684	-87.71983667
41.76764753	-87.66025058
41.86829986	-87.69892051
41.8805108	-87.74406594
41.97012509	-87.69507228
41.88574096	-87.62499491
41.93608929	-87.72709656
41.88681103	-87.75529358
41.68957883	-87.53648808
41.85982927	-87.63026974
41.79706335	-87.58903848
41.90136716	-87.71895078
41.92611109	-87.77579308
41.88108608	-87.69509619
41.75715444	-87.65391337
41.76624968	-87.57548019
41.72492723	-87.62381517
42.01938178	-87.67248832
41.90981617	-87.79601223
41.87820261	-87.725584
