Latitude	Longitude
34.0776	-118.308
34.1113	-118.3336
33.9406	-118.2338
33.9449	-118.2332
33.8135	-118.2992
33.9931	-118.3308
34.0617	-118.2469
34.069	-118.3066
34.0644	-118.2387
34.1817	-118.4509
34.2085	-118.4662
34.0228	-118.2325
34.2083	-118.5929
34.2227	-118.3743
34.091	-118.2788
34.1075	-118.2732
34.2486	-118.3575
33.9525	-118.2651
34.1706	-118.5698
34.0419	-118.2669
34.047	-118.5259
33.9432	-118.309
34.2326	-118.4029
34.2609	-118.4402
34.2279	-118.4516
34.1724	-118.5649
33.9909	-118.3225
34.2317	-118.3753
34.0513	-118.264
34.0725	-118.2459
34.0302	-118.2077
34.0957	-118.3938
33.9694	-118.2608
34.2249	-118.3657
34.2346	-118.5231
34.0577	-118.2519
33.9432	-118.4013
34.2687	-118.4877
34.002	-118.2783
34.0559	-118.3091
34.0617	-118.3091
34.0643	-118.4322
34.0776	-118.3069
34.1726	-118.5492
34.2355	-118.5517
34.2059	-118.571
34.0028	-118.3002
34.0325	-118.3506
34.0707	-118.2795
33.9698	-118.4584
34.2215	-118.4553
34.0515	-118.2201
34.0697	-118.2697
34.1528	-118.4665
33.9678	-118.2564
34.1165	-118.2475
34.1472	-118.4496
34.1577	-118.367
34.0424	-118.2493
34.0725	-118.2459
33.9746	-118.3187
34.2143	-118.4362
34.0228	-118.306
34.1422	-118.223
34.0725	-118.2459
34.04	-118.3515
34.1054	-118.3006
34.1054	-118.2945
34.1054	-118.3006
34.1811	-118.6059
33.9909	-118.3225
34.1077	-118.2874
33.944	-118.4073
34.0463	-118.2864
33.9871	-118.3518
34.0284	-118.392
33.9447	-118.2695
33.9857	-118.4435
33.7452	-118.3129
33.9601	-118.2827
34.3147	-118.4308
34.1108	-118.2729
34.269	-118.5943
34.0982	-118.2852
33.9964	-118.3294
34.0155	-118.3023
33.958	-118.2881
34.0926	-118.3363
34.1069	-118.2863
34.1036	-118.2933
34.105	-118.2022
34.1649	-118.3985
34.2287	-118.5273
33.7397	-118.3097
33.9691	-118.309
34.1016	-118.3387
34.2084	-118.5535
33.7925	-118.3082
34.0274	-118.3089
34.1131	-118.1894
34.1406	-118.376
34.1164	-118.223
34.0141	-118.277
34.0454	-118.309
34.0961	-118.4482
34.0978	-118.3817
34.0982	-118.283
34.0548	-118.254
34.2208	-118.5317
34.0596	-118.2749
34.1544	-118.3965
34.1036	-118.2973
33.9605	-118.2917
33.944	-118.4073
34.2009	-118.6369
34.2103	-118.3954
34.0155	-118.2999
34.0512	-118.2787
34.1162	-118.2376
33.9646	-118.309
34.1939	-118.4815
34.11	-118.2874
34.0577	-118.2753
34.0909	-118.2867
34.0975	-118.272
34.0618	-118.2891
33.8141	-118.3089
34.1157	-118.2733
34.1106	-118.2678
34.0509	-118.3063
